,text,sentiment
0,Honda Motor Reduces Trial and Development Time Thanks to the Accuracy of Water Impact Simulation Testing VirtualPrototyping VPS Automotive,positive
1,Its the Hyundai project thing But Jungkook looooookkkkssss greeeeaaaaaatttt as alwayyyyys,positive
2,Feeling a strange tilt on one side of your VW Its probably time to stop by our Service Center and get your Tires Rotated by our excellent technicians VWLove Volkswagen Book appointment,positive
3,I learned out of necessity on a Volkswagen Jetta when I wasbut I very much prefer an automatic transmission,positive
4,So cute ,positive
5,Some exiting news I wanted to share So I talked to my mam after watching the Bumblebee movie saying that I wanted aVolkswagen Beetle and she wanted the same car So she is gunna help me get aVolkswagen Beetle just like the one in the film So exiting,positive
6,The online synthesis workshop allowed us to keep a key research initiative moving We were able to collaborate without having to travel and the end result was clarity and confidence on the path forward Mark Duer Design Research Ford Motor Company,positive
7,Ford Motor Company gave their car designers a special assignment Craft up activity sheets  coloring pages to amuse kids stuck at home during the pandemic Check out these fun free downloads available from StayHome StaySafe,positive
8,Congrats to our customers GE Healthcare and Ford Motor Company for their work together in increasing ventilator production and helping health care workers save lives covid19 coronavirus fighttheviruswithus,positive
9,On Monday Grandad and i worked on his cars My favorite car is atoyota group b rally car He has a lot of cars he collects them Grandads favorite car is a renolt Grandad has been ,positive
10,Ima get a job at Toyota JZ be spending racks on designer,positive
11,yallis like a nissan altima  mine is more like a Toyota corolla  keeping it safe and secure ,positive
12,Just imagine comparing Benz C200 Kompressor to Toyota corollaedition Its benz but not close at all,positive
13,I have an interview tomorrow for Toyota corporate in Phoenix Should I take the job if I get it,positive
14,only goal in my life is to travel around the world with my Toyota Land Cruiser and some kittens,positive
15,I dont want friends I want audis,positive
16,Cant wait for these Audis to come in for my kids ,positive
17,I would like to take a route and drive and drive  and enjoy the sea  and you What would you like to do             quarantine cuarentena bucewillis enjoy covid19 car sunglasses audi,positive
18,Still blazinghappyyall  ,positive
19,My happiness is predicated by humility  paeuros audi audisport audipittsburgh audisportquattro audizine rs4 b7rs4 b7 rsgang quattro misano misanored misanors4 audizine widebody,positive
20,Im so stuck between getting this Audi or Genesis,positive
21,Wunder solo killing Bwipo twice in a row during the 3rd game Me amp my friends talked about this moment a lot last night,positive
22,BMW of El Paso appreciates all of our customers support Leave us a review about your experience with us today We look forward to your next visit,positive
23,absolutely slamming Bwipo in1v1s in Game,positive
24,Prepped For Track Work,positive
